Model,Sequence Length (n),Hidden Dim (k),Mean Runtime (s),Std Dev (s),Throughput (seq/s),Peak Memory (MB)
RNNCell,1024,64,0.7195,0.003,1.39,579.46
LSTMCell,1024,64,0.9874,0.0027,1.01,582.02
GRUCell,1024,64,1.2121,0.0049,0.83,583.11
GRUODE,1024,64,5.6725,0.0088,0.18,586.52
CTRNNCell,1024,64,2.8035,0.01,0.36,587.8
PhasedLSTM,1024,64,1.7058,0.0054,0.59,589.62
ODELSTM,1024,64,2.9937,0.0134,0.33,591.94
CfCCell,1024,64,3.0742,0.0187,0.33,595.29
LTCCell,1024,64,5.5264,0.0183,0.18,599.83
MultiHeadAttention,1024,64,0.0181,0.0007,55.25,663.04
Attention,1024,64,0.004,0.0002,247.34,664.07
odeformer,1024,64,0.0906,0.0067,11.04,673.5
LAN_Exact,1024,64,0.2917,0.0009,3.43,4900.2
LAN_Euler,1024,64,0.3947,0.0013,2.53,4900.2
LAN_Steady,1024,64,0.2893,0.0025,3.46,4900.2
NAC,1024,64,3.7631,0.0306,0.27,781.59
